ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
40	Mouse	mmu-let-7a-1-3p	miRNA	chronic unpredictable mild stress (CUMS)	major depressive disorder (MDD)	nucleus accumbens (NAc) tissues	chronic unpredictable mild stress (CUMS) induce	upregulated	30936699
41	Mouse	mmu-let-7a-1-3p	miRNA	dexmedetomidine (DEX)	spinal cord ischemia/reperfusion injury (SCII)	hypoxia-induced isolated activated microglia from SCIRI mice	dexamethasone (DEX) treatment	upregulated	31190218
42	Mouse	mmu-let-7a-1-3p	miRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	spinal cord ischemia/reperfusion injury (SCII)	isolated activated microglia from SCIRI mice	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	downregulated	31190218
43	Mouse	mmu-let-7a-2-3p	miRNA	dexmedetomidine (DEX)	spinal cord ischemia/reperfusion injury (SCII)	hypoxia-induced isolated activated microglia from SCIRI mice	dexamethasone (DEX) treatment	upregulated	31190218
44	Mouse	mmu-let-7a-2-3p	miRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	spinal cord ischemia/reperfusion injury (SCII)	isolated activated microglia from SCIRI mice	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	downregulated	31190218
45	Mouse	mmu-let-7a-5p	miRNA	¦¤9-tetrahydrocannabinol (THC)	acute respiratory distress syndrome (ARDS)	lung-infiltrated mononuclear cells (MNCs)	¦¤9Tetrahydrocannabinol (THC) treatment	downregulated	32612530
46	Mouse	mmu-let-7a-5p	miRNA	house dust mite (HDM)	asthma	C57BL/6J mice airway-secreted EVs (AEVs) were isolated from bronchoalveolar lavage fluid (BALF)	HDM treatment	dysregulated in airway-secreted EVs (AEVs) were isolated from bronchoalveolar lavage fluid (BALF)	28859242
47	Mouse	mmu-let-7a-5p	miRNA	anoxia/reoxygenation (A/R)	cardiovascular disease (CVD)	primary cardiomyocytes	anoxia/reoxygenation (A/R) treatment	downregulated	31894303
48	Mouse	mmu-let-7a-5p	miRNA	tumor necrosis factor alpha (TNF-¦Á) 	catecholamine resistance	Adipocytes differentiated from 3T3-L1 preadipocytes	tumor necrosis factor alpha (TNF-¦Á) treatment	downregulated	30933434
49	Mouse	mmu-let-7a-5p	miRNA	high glucose (HG)	diabetic nephropathy (DN)	renal mesangial cells	high glucose treatment	downregulated	30896854
50	Mouse	mmu-let-7a-5p	miRNA	fluke Fasciola gigantica (FgESPs)	F. gigantica infection	liver tissues	fluke Fasciola gigantica (FgESPs) infection	downregulated	33332355
51	Mouse	mmu-let-7a-5p	miRNA	schistosoma japonicum	liver fibrosis	serum exosomes	S. japonicum infection treatment	downregulated	32443549
52	Mouse	mmu-let-7a-5p	miRNA	lipopolysaccharide (LPS)	inflammation	RAW 264.7 cells	lipopolysaccharide (LPS) treatment	upregulated	32153563
53	Mouse	mmu-let-7a-5p	miRNA	anoxia/reoxygenation (A/R)	myocardial infarction (MI)	Primary cardiomyocyte	anoxia/reoxygenation (A/R) treatment	"Let-7a-5p inhibition enhanced A/R-induced apoptosis, Let-7a-5p inhibits cardiomyocytes death by targeting IGF2BP3."	31894303
54	Mouse	mmu-let-7a-5p	miRNA	Yiqi-Bushen-Tiaozhi (YBT)	nonalcoholic fatty liver disease/nonalcoholic steatohepatitis (NAFLD/NASH)	liver tissues	Yiqi-Bushen-Tiaozhi (YBT) treatment	upregulated	33281601
55	Mouse	mmu-let-7a-5p	miRNA	Vaccination during Crisis of Plasmodium chabaudi Blood-Stage Malaria	plasmodium chabaudi infection	Balb/c Mice liver	infect with Vaccination treatment	downregulated in the Liver	28123381
56	Mouse	mmu-let-7b	miRNA	high fat diet (HFD)	acute myocardial infarction (AMI)	liver tissue	high fat diet (HFD) feed	downregulated	19835573
57	Mouse	mmu-let-7b	miRNA	ethanol (EtOH)	alcoholic liver disease (ALD)	mouse mouse liver	ethanol treatment	downregulated in mouse liver	28536261
58	Mouse	mmu-let-7b	miRNA	blast	blast traumatic brain injury (bTBI)	Balb/c mice	blast treatment	dysregulated	29020847
59	Mouse	mmu-let-7b	miRNA	melatonin	cell proliferation	hippocampus dentate gyrus tissues	melatonin treatment	upregulated	31169197
60	Mouse	mmu-let-7b	miRNA	TGF-¦Â	diabetic nephropathy (DN)	mouse mesangial cells (MMCs)	TGF-¦Â treatment	downregulated	25354942
61	Mouse	mmu-let-7b	miRNA	trans-pellitorine	"fatty acid synthase, fatty acid uptake"	3T3-L1 cells	trans-pellitorine	upregulated	28620299
62	Mouse	mmu-let-7b	miRNA	di(2-ethylhexyl) phthalate (DEHP)	follicular development	ovarian	di(2-ethylhexyl) phthalate (DEHP) treatment	upregulated	29385306
63	Mouse	mmu-let-7b	miRNA	lipopolysaccharide (LPS)	inflammation	RAW 264.7 cells	lipopolysaccharide (LPS) treatment	dysregulated	24792623
64	Mouse	mmu-let-7b	miRNA	lithium (Li)	inflammation	primary cultures and in rat frontal cortex	Lithium?treatment	downregulated	21676127
65	Mouse	mmu-let-7b	miRNA	Japanese Encephalitis virus (JEV)	Japanese Encephalitis virus (JEV) infection	mouse neuronal (Neuro2a) cells or primary cortical neurons	Japanese Encephalitis virus (JEV) infection	upregulated	30556910
66	Mouse	mmu-let-7b	miRNA	epigallocatechin-3-gallate (EGCG)	melanoma	"Mouse melanoma B16, human melanoma Mewo and A375 cells"	Green tea polyphenol (-)-epigallocatechin-3-O-gallate (EGCG) treatment	upregulated	26754091
67	Mouse	mmu-let-7b	miRNA	prion	neurodegeneration (ND)	the brains tissues	prion infection treatment	upregulated	18987751
68	Mouse	mmu-let-7b	miRNA	arsenite	lung fibrosis	lung tissues	arsenite exposure	downregulated	33162208
69	Mouse	mmu-let-7b-5p	miRNA	acetaminophen (APAP)	drug-induced liver injury (DILI)	plasma	acetaminophen (APAP) treatment	upregulated	30125006
70	Mouse	mmu-let-7b-5p	miRNA	aerobic exercise	energy homeostasis	skeletal muscle	aerobic exercise training (AET) treatment	8 wk of aerobic training (Tr) markedly decreased let-7b-5p expression in murine skeletal muscle	32697599
71	Mouse	mmu-let-7b-5p	miRNA	Yiqi-Bushen-Tiaozhi (YBT)	nonalcoholic fatty liver disease/nonalcoholic steatohepatitis (NAFLD/NASH)	liver tissues	Yiqi-Bushen-Tiaozhi (YBT) treatment	upregulated	33281601
72	Mouse	mmu-let-7b-5p	miRNA	bis-enoxacin	osteoclastogenesis	4T1 murine breast cancer cells	bis-enoxacin treatment	downregulated	30385810
73	Mouse	mmu-let-7b-5p	miRNA	enoxacin	osteoclastogenesis	4T1 murine breast cancer cells	Enoxacin treatment	downregulated	30385810
74	Mouse	mmu-let-7b-5p	miRNA	Vaccination during Crisis of Plasmodium chabaudi Blood-Stage Malaria	plasmodium chabaudi infection	Balb/c Mice liver	infect with Vaccination treatment	downregulated in the Liver	28123381
75	Mouse	mmu-let-7c	miRNA	high fat diet (HFD)	acute myocardial infarction (AMI)	liver tissue	high fat diet (HFD) feed	downregulated	19835573
76	Mouse	mmu-let-7c	miRNA	angiotensin II (Ang II)	allergic airway inflammation	murine bone marrow-derived macrophages (BMDMs)	angiotensin II (Ang II) treatment	downregulated	32458348
77	Mouse	mmu-let-7c	miRNA	lipoxin A4 (LXA4)	bronchopulmonary dysplasia (BPD)	mouse lung epithelial cells (MLE-12) cells	"5S,6R-methyl-LXA4 treatment"	upregulated	28819748
78	Mouse	mmu-let-7c	miRNA	lipopolysaccharide (LPS)	chronic obstructive pulmonary disease (COPD)	alveolar macrophages	lipopolysaccharide (LPS) treatment	downregulated	26851791
79	Mouse	mmu-let-7c	miRNA	TGF-¦Â	diabetic nephropathy (DN)	mouse mesangial cells (MMCs)	TGF-¦Â treatment	downregulated	25354942
80	Mouse	mmu-let-7c	miRNA	lipopolysaccharide (LPS)	endometriosis	LPS-induced mouse endometritis tissues	lipopolysaccharide (LPS) treatment	downregulated	30406463
81	Mouse	mmu-let-7c	miRNA	IFN-¦Ã and lipopolysaccharide (LPS)	inflammation	RAW264.7 cells	"LPS , IFN-¦Ã treatment"	downregulated	25215948
82	Mouse	mmu-let-7c	miRNA	metformin (Met)	pancreatic cancer (PC)	human pancreatic cancer cells	metformin treatment	upregulated	22245693
83	Mouse	mmu-let-7c	miRNA	lithium (Li)	inflammation	primary cultures and in rat frontal cortex	Lithium?treatment	downregulated	21676127
84	Mouse	mmu-let-7c-1-3p	miRNA	echinococcus multilocularis metacestodes	echinococcus multilocularis infection	RAW 264.7 cells	E. multilocularis metacestodes treatment	downregulated	30322806
85	Mouse	mmu-let-7c-1-3p	miRNA	E. multilocularis metacestodes	infection and immunity of E. multilocularis	RAW264¡¤7 macrophage cells	E. multilocularis metacestodes for 6 and 12 h treatment	"upregulated (mmu-miR-378d,mmu-miR-155-5p, mmu-miR-146a-5p, mmu-miR-21a-5p , mmu-miR-125a-5p) and downregulated(mmu-miR-1981-5p , mmu-miR-let-7c-1-3p)"	28942753
86	Mouse	mmu-let-7c-1-3p	miRNA	lipopolysaccharide (LPS)	inflammation	RAW264.7 cells	lipopolysaccharide (LPS) treatment	downregulated	32955644
87	Mouse	mmu-let-7c-5p	miRNA	quercetin	chronic inflammatory diseases	LPS-treated murine bone marrow¨Cderived DCs (BMDCs)	quercetin treatment	upregulated	31338984
88	Mouse	mmu-let-7c-5p	miRNA	bilateral surgical destabilization of the medial meniscus (DMM)	osteoarthritis (OA)	male C57BL6 mice	bilateral surgical destabilization of the medial meniscus (DMM) treatment	dysregulated	29255152
89	Mouse	mmu-let-7c-5p	miRNA	Vaccination during Crisis of Plasmodium chabaudi Blood-Stage Malaria	plasmodium chabaudi infection	Balb/c Mice liver	infect with Vaccination treatment	downregulated in the Liver	28123381
90	Mouse	mmu-let-7c-5p	miRNA	oxygen glucose deprivation (OGD)	stroke	microglia	oxygen-glucose deprivation (OGD) treatment	downregulated	25934573
91	Mouse	mmu-let-7c-5p	miRNA	hypoxia	traumatic brain injury (TBI)	Primary mouse microglia	oxygen/glucose deprivation (OGD) treatment	downregulated	29408500
92	Mouse	mmu-let-7c-5p	miRNA	lipopolysaccharide (LPS)	traumatic brain injury (TBI)	Primary mouse microglia	lipopolysaccharides (LPS) treatment	downregulated	29408500
93	Mouse	mmu-let-7d	miRNA	arsenite	atherosclerosis (AS)	liver	arsenic (As) exposure	downregulated	22719926
94	Mouse	mmu-let-7d	miRNA	TGF-¦Â	diabetic nephropathy (DN)	mouse mesangial cells (MMCs)	TGF-¦Â treatment	downregulated	25354942
95	Mouse	mmu-let-7d	miRNA	cyclosporine A (CsA)	nephrotoxicity	mouse kidney	cyclosporine A treatment	upregulated	28414804
96	Mouse	mmu-let-7d	miRNA	berberine (BBR)	obesity	mouse primary preadipocytes isolated from epididymal white adipose tissue (eWAT)	berberine (BBR) treatment	upregulated	31527742
97	Mouse	mmu-let-7d	miRNA	6-hydroxydopamine (6-OHDA)	parkinson's disease (PD)	MN9D Cells	6-hydroxydopamine (6-OHDA) treatment	downregulated	29082467
98	Mouse	mmu-let-7d	miRNA	testosterone	prostate cancer	female mouse liver	Testosterone treatment	"upregulation of the 6 miRNAs miR-22, miR-690, miR-122, let-7A, miR-30D and let-7D"	20600201
99	Mouse	mmu-let-7d	miRNA	bleomycin (BLM)	lung fibrosis	exosomes of broncho-alveolar lavage fluids	bleomycin (BLM) treatment	downregulated	33179861
100	Mouse	mmu-let-7d	miRNA	diesel exhaust particle (DEP)	pulmonary inflammatory response	lung tissues	diesel exhaust particle (DEP) exposure	downregulated	30172002
101	Mouse	mmu-let-7d-3p	miRNA	licochalcone A (LA)	lung cancer	MLE-12 cells	Licochalcone A (lico A) treatment	upregulated	32505917
102	Mouse	mmu-let-7d-5p	miRNA	nonivamide	adipogenesis	3T3©\L1 pre©\adipocytes cells	nonivamide treatment	upregulated	25704235
103	Mouse	mmu-let-7d-5p	miRNA	tanshinone IIA (Tan IIA)	atherosclerosis (AS)	RAW 264.7 cells	Tanshinone IIA (Tan) treatment	upregulated	32337768
104	Mouse	mmu-let-7d-5p	miRNA	schistosoma japonicum	liver fibrosis	serum exosomes	S. japonicum infection treatment	downregulated	32443549
105	Mouse	mmu-let-7d-5p	miRNA	Vaccination during Crisis of Plasmodium chabaudi Blood-Stage Malaria	plasmodium chabaudi infection	Balb/c Mice liver	infect with Vaccination treatment	downregulated in the Liver	28123381
106	Mouse	mmu-let-7e	miRNA	staphylococcal enterotoxin B (SEB)	acute inflammatory lung injury	lung	staphylococcal enterotoxin B treatment	upregulated	25564423
107	Mouse	mmu-let-7e	miRNA	lipopolysaccharide (LPS)	acute lung injury (ALI)	bone marrow-derived macrophages (BMDMs)	lipopolysaccharide (LPS) treatment	LPS-induced microRNA lethal-7e ( let-7e) expression was significantly increased in MK2 -/- macrophages.	29770701
108	Mouse	mmu-let-7e	miRNA	lipopolysaccharide (LPS)	acute lung injury (ALI)	lung tissues and bronchoalveolar lavage fluid (BALF)	lipopolysaccharide (LPS) treatment	upregulated	33392621
109	Mouse	mmu-let-7e	miRNA	lipopolysaccharide (LPS)	cell proliferation	CD11b+ Gr1+ cells sorted from the bone marrow (BM)	lipopolysaccharide (LPS) treatment	upregulated	30221399
110	Mouse	mmu-let-7e	miRNA	lipopolysaccharide (LPS)	immune response	Myeloid-derived suppressor cells (MDSCs)	lipopolysaccharide (LPS) treatment	"let-7e was highly upregulated in the LPS-treated group,"	30221399
111	Mouse	mmu-let-7e	miRNA	smoking	smoking-related interstitial fibrosis (SRIF)	C57 mice circulating	6 months of chronic mainstream smoking exposure treatment	downregulated	22782705
112	Mouse	mmu-let-7e-5p	miRNA	dexamethasone (DEX)	asthma	lung tissues	dexamethasone (Dex) treatment	let-7e-5p was downregulated in the Dex group compared with that in the Model group.	32222886
113	Mouse	mmu-let-7e-5p	miRNA	¦Â-glycerophosphate (¦Â-GP) and pyruvic acid	coronary artery calcification (CAC)	mouse smooth muscle cell line (MOVAS-1)	¦Â-glycerophosphate (¦Â-GP) and pyruvic acid treatment	downregulated	31733402
114	Mouse	mmu-let-7e-5p	miRNA	¦Â-glycerophosphate (¦Â-GP) and pyruvic acid	coronary artery calcification (CAC)	exosomes from mouse vascular smooth muscle cells line MOVAS-1	"To induce calcification, the MOVAS-1 cells were maintained in normal cell culture medium supplied with 10 mM ¦Â-glycerophosphate (¦Â-GP) (Sigma, UK) and 10 nM pyruvic acid for 21 d successively, and the culture medium was renewed every 3 d."	downregulated	31733402
115	Mouse	mmu-let-7e-5p	miRNA	estradiol-17¦Â (E2)	systemic lupus erythematosus (SLE)	murine B cells	estradiol-17¦Â (E2) treatment	downegulated	25912736
116	Mouse	mmu-let-7f	miRNA	ethanol (EtOH)	alcoholic liver injury	mouse	mitochondrial and cellular damage induced by repeated ethanol withdrawal (EW) treatment	upregulated	25406171
117	Mouse	mmu-let-7f	miRNA	metformin (Met)	anti-cancer therapy	mice with 4-months-exposure of smoke	oral metformin was used at a dose of 800 mg/kg diet treatment	upregulated	24683044
118	Mouse	mmu-let-7f	miRNA	high glucose (HG)	diabetic nephropathy (DN)	MPC5 cells	high glucose (HG) treatment	LncRNA MALAT1/microRNA let-7f/KLF5 axis regulates podocyte injury in diabetic nephropathy	33232688
119	Mouse	mmu-let-7f	miRNA	ischemia	ischemia/reperfusion (I/R) injury	cerebral cortex and hippocampus	Ischemic preconditioning and ischemic postconditioning (IPostC) treatment	downregulated	27485299
120	Mouse	mmu-let-7f	miRNA	ethanolic extract of an herbal formula comprising Sophorae Flos and Lonicerae Japonicae Flos (SLE)	metastasized melanoma	"B16F10 melanoma tissues, B16F10 melanoma lung metastasis in mice"	SLE treatment	upregulated	31514083
121	Mouse	mmu-let-7f	miRNA	cigarette smoke (CS)	neovascularization	mouse ischemic muscles	cigarette smoke (CS)?exposure	downregulated	28345812
122	Mouse	mmu-let-7f	miRNA	social defeat stress	sex differences of social defeat stress	female mice	social defeat stress treatment	upregulated	33358922
123	Mouse	mmu-let-7f-2-3p	miRNA	high glucose (HG)	diabetic nephropathy (DN)	mouse podocytes	high glucose (HG) treatment	upregulated	33224036
124	Mouse	mmu-let-7f-5p	miRNA	azoxymethane (AOM) and dextran sulfate sodium (DSS)	colitis-associated colon cancer (CAC)	colon tissues	azoxymethane (AOM) and dextran sulfate sodium (DSS) treatment	downregulated	31275360
125	Mouse	mmu-let-7f-5p	miRNA	lipopolysaccharide (LPS)	inflammation	RAW 264.7 cells	lipopolysaccharide (LPS) treatment	upregulated	32153563
126	Mouse	mmu-let-7f-5p	miRNA	polymethylmethacrylate (PMMA)	osteolysis	RAW264.7 cells	polymethylmethacrylate treatment	The expression of let-7f-5p was increased in the process of M1 macrophage polarization that induced by PMMA	30176162
127	Mouse	mmu-let-7f-5p	miRNA	Vaccination during Crisis of Plasmodium chabaudi Blood-Stage Malaria	plasmodium chabaudi infection	Balb/c Mice liver	infect with Vaccination treatment	downregulated in the Liver	28123381
128	Mouse	mmu-let-7g	miRNA	blast	blast traumatic brain injury (bTBI)	Balb/c mice	blast treatment	dysregulated	29020847
129	Mouse	mmu-let-7g	miRNA	house dust mite (HDM)	chronic allergic asthma	C57BL/6 mice	HDM treatment	downregulated	24610935
130	Mouse	mmu-let-7g	miRNA	TGF-¦Â	diabetic nephropathy (DN)	mouse mesangial cells (MMCs)	TGF-¦Â treatment	downregulated	25354942
131	Mouse	mmu-let-7g	miRNA	binase	lymphosarcoma	RLS40 cells	binase treatment	downregulated	33147876
132	Mouse	mmu-let-7g	miRNA	doxorubicin (DOX)	myocardial injury	animal issues and cardiac cells	antibiotics treatment	The downregulated of let-7g in the myocardial-injury model suggests that let-7g may play an important role in the development of cardiac disease	22301161
133	Mouse	mmu-let-7g	miRNA	plasmodium chabaudi malaria	peak parasitemia	liver of mice	Plasmodium chabaudi malaria infection treatment	downregulated	21085987
134	Mouse	mmu-let-7g	miRNA	arsenite	lung fibrosis	lung tissues	arsenite exposure	downregulated	33162208
135	Mouse	mmu-let-7g	miRNA	diesel exhaust particle (DEP)	pulmonary inflammatory response	lung tissues	diesel exhaust particle (DEP) exposure	downregulated	30172002
136	Mouse	mmu-let-7g-3p	miRNA	Yiqi-Bushen-Tiaozhi (YBT)	nonalcoholic fatty liver disease/nonalcoholic steatohepatitis (NAFLD/NASH)	liver tissues	Yiqi-Bushen-Tiaozhi (YBT) treatment	upregulated	33281601
137	Mouse	mmu-let-7g-5p	miRNA	oxysterol 27-hydroxycholesterol (27-OHC)	Alzheimer's disease (AD)	brain tissues	oxysterol 27-hydroxycholesterol (27-OHC) treatment	downregulated	30582229
138	Mouse	mmu-let-7g-5p	miRNA	ursolic acid (UA)	osteogenesis	RANKL-treated RAW264.7 cells	ursolic acid treatment	downregulated	30827108
139	Mouse	mmu-let-7g-5p	miRNA	Vaccination during Crisis of Plasmodium chabaudi Blood-Stage Malaria	plasmodium chabaudi infection	Balb/c Mice liver	infect with Vaccination treatment	downregulated in the Liver	28123381
140	Mouse	mmu-let-7i	miRNA	TGF-¦Â	diabetic nephropathy (DN)	mouse mesangial cells (MMCs)	TGF-¦Â treatment	downregulated	25354942
141	Mouse	mmu-let-7i	miRNA	arsenite	lung fibrosis	lung tissues	arsenite exposure	downregulated	33162208
142	Mouse	mmu-let-7i	miRNA	cyclosporine A (CsA)	urinary tract infections (UTIs)	uropathogenic Escherichia coli (UPEC) infected kidneys	cyclosporine A treatment	upregulated	29069656
143	Mouse	mmu-let-7i-5p	miRNA	carbon tetrachloride (CCl4)	liver fibrosis	liver	CCl4 treatment	upregulated	27322257
144	Mouse	mmu-let-7i-5p	miRNA	carbon tetrachloride (CCl4)	liver fibrosis	liver tissues	carbon tetrachloride (CCl4) treatment	upregulated	29557526
145	Mouse	mmu-let-7i-5p	miRNA	Vaccination during Crisis of Plasmodium chabaudi Blood-Stage Malaria	plasmodium chabaudi infection	Balb/c Mice liver	infect with Vaccination treatment	downregulated in the Liver	28123381
146	Mouse	mmu-let-7k	miRNA	Psychosocial stress	mesenchymal stem cell transplantation (MSCT)	mouse bone marrow mesenchymal stem cells (MSCs)	Psychosocial stress treatment	Psychological stress attenuates therapeutic effects of MSCT in a DSS-induced colitis mouse model by elevating the levels of exosomal Mir7k/mmu-let-7 k (microRNA 7 k) in circulation	32910719
147	Mouse	mmu-let-7k	miRNA	oxygen	retinopathy of prematurity (ROP)	retinas tissue	"For OIR model construction, 7-day-old mice and their nursing mothers were maintained in 75% oxygen for 5 continuous days. On postnatal day (P) 12, the pups were returned to normoxic air and kept with their mothers for another 5 days. treatment"	downregulated in the OIR samples	31452702
148	Mouse	mmu-let-7k	miRNA	alpinia oxyphylla extract (AOE)	type 2 diabetes mellitus (T2DM)	db-/db- mouse kidney	A. oxyphylla extract (AOE) treatment	upregulated	28249617
