ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
21	Mouse	AA591058	lncRNA	cyclic adenosine monophosphate (cAMP)	gluconeogenesis	primary mouse hepatocytes	cyclic adenosine monophosphate (cAMP) treatment	AA591058 was upregulated in the primary mouse hepatocytes treated by cyclic adenosine monophosphate (cAMP).	29115403
22	Mouse	AA591058	lncRNA	cyclic adenosine monophosphate (cAMP)	gluconeogenesis	primary mouse hepatocytes	cyclic adenosine monophosphate (cAMP) treatment	downregulated	29115403
23	Mouse	AA591058	lncRNA	metformin (Met)	gluconeogenesis	primary mouse hepatocytes	metformin (Met) treatment	AA591058 was downregulated in the primary mouse hepatocytes treated by metformin (Met) when compared with cyclic adenosine monophosphate (cAMP) treated group.	29115403
24	Mouse	ACART	lncRNA	H2O2	ischemia/reperfusion (I/R) injury	Neonatal mouse ventricular cardiomyocytes (NMVCs)	H2O2 treatment	LncRNA ACART protects cardiomyocytes from apoptosis by activating PPAR-¦Ã/Bcl-2 pathway	31749326
25	Mouse	ACART	lncRNA	H2O2	myocardial ischemia/reperfusion (I/R) injury (MIRI)	primary cultured cardiomyocytes	H2O2 treatment	downregulated	31749326
26	Mouse	ACOD1	lncRNA	esicular stomatitis virus (VSV)	esicular stomatitis virus (VSV) infection	macrophages	stimulated with VSV for 12 hours	upregulated	29074580
27	Mouse	AIR	lncRNA	"diethyl 1,4-dihydro-2,4,6,-trimethyl-3,5-pyridinedicarboxylate (DDC)"	liver preneoplastic foci and tumors	mice liver cells	"Diethyl 1,4-dihydro-2,4,6,-trimethyl-3,5-pyridinedicarboxylate (DDC) treatment"	upregulated	19362547
28	Mouse	AK006025	lncRNA	human immunodeficiency virus (HIV)-1 Nef	HIV-associated neurocognitive disorders (HAND)	primary mouse astrocytes	Human immunodeficiency virus (HIV)-1 Nef treatment	upregulated	30382871
29	Mouse	AK009366	lncRNA	pressure overload	heart failure (HF)	heart sissues	pressure overload treatment	upregulated	33224746
30	Mouse	AK020546	lncRNA	H2O2	cardiomyocyte autophagy	primary cardiomyocytes	H2O2 treatment	AK020546 was decreased upon H2O2 treatment	29295976
31	Mouse	AK028245	lncRNA	cyclophosphamide (CP)	ircadian rhythmicity	mouse	cyclophosphamide (CP) treatment	downregulated	32748687
32	Mouse	AK028245	lncRNA	lipopolysaccharide (LPS)	ircadian rhythmicity	mouse	lipopolysaccharide (LPS) treatment	downregulated	32748687
33	Mouse	AK038897	lncRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	ischemic stroke (IS)	neuro-2A (N2a) neuroblastoma cells	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	upregulated	30703362
34	Mouse	AK038898	lncRNA	radiation	radiation-induced intestinal injury	intestinal tissues	radiation treatment	downregulated	30324649
35	Mouse	AK039862	lncRNA	paraquat (PQ)	parkinson's disease (PD)	BV2 cells	paraquat (PQ) treatment	upregulated	33120262
36	Mouse	AK039862	lncRNA	paraquat (PQ)	parkinson's disease (PD)	BV2 cells	paraquat (PQ) treatment	PQ-induced low expression of AK039862 rescued microglia proliferation and migration inhibition via the AK039862/Pafah1b1/Foxa1 pathway.	33120262
37	Mouse	AK043271	lncRNA	X-rays	radiation-induced injury	mouse thymocytes	X-ray irradiation	downregulated	27864278
38	Mouse	AK045171	lncRNA	angiotensin II (Ang II)	cardiac hypertrophy	Neonatal mouse cardiomyocytes and cardiac fibroblasts	angiotensin II (Ang II) treatment	Overexpression of AK045171 attenuated cardiac hypertrophy both in vitro and in vivo.	32087602
39	Mouse	AK054386	lncRNA	hypoxia	hepatic ischemia/reperfusion injury (HIRI)	BNL-CL2	hypoxia induce	upregulated	31827704
40	Mouse	AK077216	lncRNA	macrophage colony-stimulating factor (M-CSF) and receptor activator of NF-¦ÊB ligand (RANKL)	osteoclastogenesis	RAW 264.7 cells and Bone marrow and spleen derived monocytes/macrophages	macrophage colony©\stimulating factor (M©\CSF) and receptor activator of nuclear factor ¦ÊB ligand (RANKL) treatment	upregulated	30132869
41	Mouse	AK080622	lncRNA	peritoneal dialysis fluid (PDF)	peritoneal fibrosis	peritoneal tissues	peritoneal dialysis fluid (PDF) treatment	decreased	25827714
42	Mouse	AK081017	lncRNA	streptozocin (STZ)	diabetic neuropathic pain (DNP)	mouse brain tissues	streptozotocin treatment	dysregulated	30599267
43	Mouse	AK081284	lncRNA	high glucose (HG)	diabetic cardiomyopathy (DCM)	Cardiac fibroblasts (CFs)	high glucose (HG) treatment	The levels of long noncoding RNA-AK081284 were increased in the CFs treated with high glucose or IL-17.	29305939
44	Mouse	AK081284	lncRNA	IL-17	diabetic cardiomyopathy (DCM)	Cardiac fibroblasts (CFs)	IL-17 treatment	IL-17 treatment increased the expression of AK081284 in CFs.	29305939
45	Mouse	AK081284	lncRNA	streptozocin (STZ)	diabetic cardiomyopathy (DCM)	cardiac tissues	streptozocin (STZ) treatment	upregulated	29305939
46	Mouse	AK083162	lncRNA	X-rays	radiation-induced injury	mouse thymocytes	X-ray irradiation	downregulated	27864278
47	Mouse	AK083183	lncRNA	radiation	radiation-induced intestinal injury	intestinal tissues	radiation treatment	downregulated	30324649
48	Mouse	AK085865	lncRNA	dermatophagoides farinae protein 1(Der f1)	allergic asthma (AA)	M2 macrophages	Der f1 treatment	upregulated	32247269
49	Mouse	AK085865	lncRNA	coxsackievirus B3 (CVB3)	viral myocarditis (VM)	M1 macrophages	coxsackievirus B3 (CVB3) treatment	upregulated	32220054
50	Mouse	AK085865	lncRNA	coxsackievirus B3 (CVB3)	viral myocarditis (VM)	heart sissues	Coxsackievirus B3 (CVB3) infection	downregulated	32668391
51	Mouse	AK089579	lncRNA	peritoneal dialysis fluid (PDF)	peritoneal fibrosis	peritoneal tissues	peritoneal dialysis fluid (PDF) treatment	decreased	25827714
52	Mouse	AK133602	lncRNA	cyclic adenosine monophosphate (cAMP)	gluconeogenesis	primary mouse hepatocytes	cyclic adenosine monophosphate (cAMP) treatment	AK133602 was upregulated in the primary mouse hepatocytes treated by cyclic adenosine monophosphate (cAMP).	29115403
53	Mouse	AK133602	lncRNA	cyclic adenosine monophosphate (cAMP)	gluconeogenesis	primary mouse hepatocytes	cyclic adenosine monophosphate (cAMP) treatment	downregulated	29115403
54	Mouse	AK133602	lncRNA	metformin (Met)	gluconeogenesis	primary mouse hepatocytes	metformin (Met) treatment	AK133602 was downregulated in the primary mouse hepatocytes treated by metformin (Met) when compared with cyclic adenosine monophosphate (cAMP) treated group.	29115403
55	Mouse	AK142426	lncRNA	peritoneal dialysis fluid (PDF)	peritoneal fibrosis	peritoneal tissues	peritoneal dialysis fluid (PDF) treatment	upregulated	25827714
56	Mouse	AK144841	lncRNA	"promoter (7,12-dimethylbenz[a]anthracene (DMBA) and 12-O-tetradecanoylphorbol-13-acetate (TPA)"	cutaneous squamous cell carcinoma (cSCC)	cSCC and highly tumorigenic cells	"DMBA,TPA treatment"	upregulated	28596382
57	Mouse	AK148321	lncRNA	lipopolysaccharide (LPS)	neuroinflammation	BV2 cells	lipopolysaccharide (LPS) treatment	LPS treatment suppressed AK148321 expression in BV2 cells.	33301806
58	Mouse	AK148321	lncRNA	lipopolysaccharide (LPS)	neuroinflammation	BV2 cells	lipopolysaccharide (LPS) treatment	LPS treatment suppressed AK148321 expression in BV2 cells. Overexpression of AK148321 inhibited LPS-induced BV2 microglial cell activation and decreased the expression of inflammatory cytokine TNF-¦Á and IL-1¦Â.	33301806
59	Mouse	AK149641	lncRNA	ovalbumin (OVA)	asthma	lung tissues	ovalbumin (OVA) treatment	downregulated of lncRNA-AK149641 attenuated the airway inflammatory response in an OVA-induced asthma mouse model.	32929606
60	Mouse	AK156531	lncRNA	propofol (PPF)	acute neurotoxicity	hippocampus	propofol treatment	downregulated	30261491
61	Mouse	AK157361	lncRNA	radiation	radiation-induced intestinal injury	intestinal tissues	radiation treatment	upregulated	30324649
62	Mouse	ANCR	lncRNA	¦Â-glycerophosphate (¦Â-GP)	arterial calcification	vascular smooth muscle cells (VSMCs)	¦Â-glycerophosphate (¦Â-GP) treatment	ANCR may inhibit the osteoblastic differentiation of VSMCs and attenuate mice arterial calcification through activating autophagy	31974677
63	Mouse	ANRIL	lncRNA	lipopolysaccharide (LPS)	acute kidney injury (AKI)	kidney tissues	lipopolysaccharide (LPS) treatment	The upregulation of ANRIL can reduce the expression of microRNA-199a and increases the number of apoptotic cells	32069473
64	Mouse	ANRIL	lncRNA	metformin (Met)	atherosclerosis (AS)	vascular smooth muscle cells (VSMCs)	Metformin treatment	Metformin activates AMPK to suppress the formation of atherosclerotic plaque through upregulation of lncRNA-ANRIL.	33411680
65	Mouse	ANRIL	lncRNA	high glucose (HG)	diabetic nephropathy (DN)	MPC5 cells	high glucose (HG) treatment	upregulated	32617859
66	Mouse	ANRIL	lncRNA	oxygen glucose deprivation (OGD)	ischemic stroke (IS)	N-2a cells	oxygen and glucose deprivation treatment	ANRIL protects N-2a cells against ischemia induced injury by elevated CAV-1 by competitively interacting with miR-199a-5p	31907708
67	Mouse	ANRIL	lncRNA	ischemia	type 2 diabetes mellitus (T2DM)	peripheral venous blood	ligation of the left anterior descending coronary artery treatment	upregulated	31469688
68	Mouse	ANRIL	lncRNA	streptozocin (STZ)	wound healing	granulation tissues	streptozocin (STZ) treatment	"ANRIL was downregulated, in the diabetic wound healing mouse model"	30565672
69	Mouse	Arid2-IR	lncRNA	high fat diet (HFD)	diabetic nephropathy (DN)	mouse kidney tissues	high fat diet (HFD) feed	Arid2-IR was increased in mice with high-fat diet and streptozotocin-induced type 2 diabetes and in mouse mesangial cells cultured with high glucose to mimic diabetes	30462533
70	Mouse	Arid2-IR	lncRNA	high fat diet (HFD) and streptozotocin (STZ)	diabetic nephropathy (DN)	kidney tissues	high fat diet (HFD) and streptozotocin (STZ) treatment	upregulated	30462533
71	Mouse	Arid2-IR	lncRNA	high glucose (HG)	diabetic nephropathy (DN)	mouse mesangial cells	high glucose (HG) treatment	upregulated	30462533
72	Mouse	Arid2-IR	lncRNA	high glucose (HG)	diabetic nephropathy (DN)	mouse mesangial cells	high glucose treatment	Arid2-IR was increased in mice with high-fat diet and streptozotocin-induced type 2 diabetes and in mouse mesangial cells cultured with high glucose to mimic diabetes	30462533
73	Mouse	Arid2-IR	lncRNA	streptozocin (STZ)	diabetic nephropathy (DN)	mouse kidney tissues	streptozotocin treatment	Arid2-IR was increased in mice with high-fat diet and streptozotocin-induced type 2 diabetes and in mouse mesangial cells cultured with high glucose to mimic diabetes	30462533
74	Mouse	ASIR	lncRNA	insulin	cell metabolism	mouse primary Adipocyte culture	insulin treatment	upregulated	30948776
75	Mouse	AU015836	lncRNA	glyoxylate	kidney damage and kidney stones	C57BL/6J mice	glyoxylate	upregulated	29160413
76	Mouse	AU020206	lncRNA	"phthalic acid mono-2-ethylhexyl ester (MEHP, bio-metabolite of DEHP)"	rheumatoid arthritis (RA)	TM3 Leydig cells	"phthalic acid mono-2-ethylhexyl ester (MEHP, bio-metabolite of DEHP) treatment"	upregulated	33360214
77	Mouse	AW112010	lncRNA	H2O2	age-related hearing loss (AHL)	HEI-OC1 Cells	H2O2 treatment	upregulated	31781342
78	Mouse	B230206L02Rik	lncRNA	propofol (PPF)	propofol-induced neurotoxicity	hippocampus	propofol treatment	downregulated	29628875
79	Mouse	BACE1AS	lncRNA	unmethylated cytosine followed by guanine (CpG ODN)	macrophage activation	RAW264.7 cells	unmethylated cytosine followed by guanine (CpG ODN) treatment	downregulated	32626785
80	Mouse	Bace1-as	lncRNA	memantine	Alzheimer's disease (AD)	brain and blood tissues	memantine treatment	upregulated	32648077
81	Mouse	BC049991	lncRNA	peritoneal dialysis fluid (PDF)	peritoneal fibrosis	peritoneal tissues	peritoneal dialysis fluid (PDF) treatment	decreased	25827714
82	Mouse	BDNF-AS	lncRNA	hypoxia	apoptosis	C57BL/6J mice neonatal cardiomyocyte	treat with either long (Hypoxia (L)) or short (Hypoxia (S)) H/R	upregulated	28363791
83	Mouse	Blnc1	lncRNA	oxygen glucose deprivation (OGD)	intracerebral haemorrhage (ICH)	brain tissues	oxygen and glucose deprivation (OGD) treatment	"Blnc1 was upregulated in perihematomal edema, hematoma and microvessel in the brain of ICH mice"	33359247
84	Mouse	Blnc1	lncRNA	oxygen glucose deprivation (OGD)	intracerebral haemorrhage (ICH)	primary brain microvascular endothelial cells (BMVECs)	oxygen and glucose deprivation (OGD) treatment	upregulated	33359247
85	Mouse	Blnc1	lncRNA	high fat diet (HFD)	mitochondrial function of white adipose tissue (WAT)	3T3-L1 pre-adipocytes	high fat diet (HFD) feed	Blnc1 Protects Against Diet-Induced Obesity by Promoting Mitochondrial Function in White Fat	32368112
86	Mouse	Blnc1	lncRNA	high fat diet (HFD)	nonalcoholic fatty liver disease (NAFLD)	liver tissues	high fat diet (HFD) feed	upregulated	30061575
87	Mouse	Braveheart	lncRNA	unmethylated cytosine followed by guanine (CpG ODN)	macrophage activation	RAW264.7 cells	unmethylated cytosine followed by guanine (CpG ODN) treatment	upregulated	32626785
88	Mouse	Bvht	lncRNA	hypoxia/reoxygenation (H/R)	epithelial-mesenchymal transition (EMT)	MSCs	exposure to hypoxia (1% O2) and serum deprivation for 24 h	upregulated	28095922
89	Mouse	C0300307D09Rik	lncRNA	"phthalic acid mono-2-ethylhexyl ester (MEHP, bio-metabolite of DEHP)"	rheumatoid arthritis (RA)	TM3 Leydig cells	"phthalic acid mono-2-ethylhexyl ester (MEHP, bio-metabolite of DEHP) treatment"	upregulated	33360214
90	Mouse	C2dat2	lncRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	cerebral ischemia/reperfusion (I/R) injury	Mouse N2a cells	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	upregulated	33833132
91	Mouse	CASC15	lncRNA	angiotensin II (Ang II)	cardiac hypertrophy	cardiomyocyte	angiotensin II (Ang II) treatment	CASC15 expression was upregulated when cardiomyocytes were treated with Ang-II.	29966657
92	Mouse	CASC2	lncRNA	lipopolysaccharide (LPS)	acute lung injury (ALI)	lung tissues	lipopolysaccharide (LPS) treatment	downregulated	29492259
93	Mouse	CASC2	lncRNA	high glucose (HG)	diabetic nephropathy (DN)	mouse podocyte cells	high glucose treatment	downregulated	29890555
94	Mouse	CCAT-1	lncRNA	tumor necrosis factor alpha (TNF-¦Á) 	apoptosis	Podocytes were isolated from mice	tumor necrosis factor alpha (TNF-¦Á) treatment	CCAT1 induction critically participated in apoptosis inhibition in podocytes through autophagy inhibition via increasing PI3K/Akt signaling	31468575
95	Mouse	CCAT-1	lncRNA	tumor necrosis factor alpha (TNF-¦Á) 	podocyte apoptosis	Podocytes	tumor necrosis factor alpha (TNF-¦Á) treatment	CCAT1 induction critically participated in apoptosis inhibition in podocytes through autophagy inhibition via increasing PI3K/Akt signaling	31468575
96	Mouse	CHCHD4P4	lncRNA	glyoxylate	kidney damage and kidney stones	C57BL/6J mice	glyoxylate	upregulated	29160413
97	Mouse	CHRF	lncRNA	isoprenaline	cardiac hypertrophy	primary cardiomyocytes	isoprenaline (ISO) tteatment	CHRF expression was upregulated and miR-93 expression was downregulated in mice and cellular models of cardiac hypertrophy.	29747050
98	Mouse	CHRF	lncRNA	valsartan (VAL)	doxorubicin (DOX)-induced cardiotoxicity	primarymyocardialcells	valsartan (VAL) treatment	The expression of CHRF was downregulated by valsartan (VAL) treatment in doxorubicin (DOX)-induced heart failure	29124661
99	Mouse	CHRF	lncRNA	doxorubicin (DOX)	heart failure (HF)	C57BL/6 male mice	doxorubicin treatment	upregulated	29124661
100	Mouse	CHRF	lncRNA	IL-6	osteoarthritis (OA)	ATDC5 cells	IL-6 treatment	IL©\6 upregulated lncRNA CHRF in ATDC5 cells. Overexpression of lncRNA CHRF aggravated IL©\6©\evoked inflammatory damages in ATDC5 cells.	31026064
101	Mouse	COX2	lncRNA	bacillus calmette-guerin (BCG)	apoptosis	RAW264.7 cells	bacillus calmette-guerin (BCG) treatment	upregulated	33250268
102	Mouse	COX2	lncRNA	bacillus calmette-guerin (BCG)	apoptosis	RAW264.7 cells	bacillus calmette-guerin(BCG) infection	"In this study, we found Bacillus Calmette-Guerin(BCG)infection induced cell apoptosis with a increasing LincRNA-Cox2 expression in RAW264.7 cells.?si-LincRNA-Cox2 was capable of increased the expression of apoptosis-associated proteins and accumulation of ROS in BCG-infected RAW264.7 cells."	33250268
103	Mouse	COX2	lncRNA	lipopolysaccharide (LPS)	cell proliferation	microglial cells	lipopolysaccharide (LPS) treatment	lincRNA-Cox2-siRNA loaded EVs also decreased LPS-induced microglial proliferation in mice.	31325121
104	Mouse	COX2	lncRNA	tumor necrosis factor alpha (TNF-¦Á) 	inflammatory response	IEC cell line	tumor necrosis factor alpha (TNF-¦Á) treatment	"lincRNA-Cox2 silencing significantly (P < 005) enhanced the transcription of Il12b, a secondary late-responsive gene induced by TNF-¦Á Mechanistically, lincRNA-Cox2 promoted the recruitment of the Mi-2/nucleosome remodeling and deacetylase (Mi-2/NuRD) repressor complex to the Il12b promoter region"	26578685
105	Mouse	COX2	lncRNA	unmethylated cytosine followed by guanine (CpG ODN)	macrophage activation	RAW264.7 cells	unmethylated cytosine followed by guanine (CpG ODN) treatment	upregulated	32626785
106	Mouse	COX2	lncRNA	Rhein	uric acid nephropathy (UAN)	Mouse kidney epithelial cell line (TCMK-1)	Rhein treatment	Rhein attenuates inflammatory injury of TCMK-1 cells and represses lincRNA-Cox2 expression	32504995
107	Mouse	COX2	lncRNA	lipopolysaccharide (LPS)	hepatocellular carcinoma (HCC)	RAW264.7 macrophages	lipopolysaccharide (LPS) treatment	upregulated	29131381
108	Mouse	COX2	lncRNA	lipopolysaccharide (LPS)	hepatocellular carcinoma (HCC)	RAW264.7 macrophages	lipopolysaccharide (LPS) treatment	upregulated	29131381
109	Mouse	COX2	lncRNA	carbon tetrachloride (CCl4)	liver fibrosis	mouse	carbon tetrachloride (CCl4) treatment	upregulated	28259935
110	Mouse	CRNDE	lncRNA	parathyroid hormone (PTH)	bone metabolism	MC3T3-E1 cells	parathyroid hormone induction treatment	Crnde regulates osteoblast proliferation through the Wnt/¦Â-catenin signaling pathway in mice	31622775
111	Mouse	CRNDE	lncRNA	TGF-¦Â1	cardiac fibrosis	cardiac fibroblasts (CFs)	TGF-¦Â1 treatment	upregulated	30748104
112	Mouse	CRNDE	lncRNA	parathyroid hormone (PTH)	cell differentiation	MC3T3-E1 cells	Parathyroid hormone (PTH) treatment	upregulated	31622775
113	Mouse	CRNDE	lncRNA	doxorubicin (DOX)	heart failure (HF)	HL-1 cells	doxorubicin (Dox) treatment	downregulated	33249529
114	Mouse	CRNDE	lncRNA	dextran sodium sulfate (DSS)	inflammatory bowel disease (IBD)	colitis tissues	dextran sulfate sodium (DSS) treatment	CRNDE in the DSS-induced colitis tissues.	31251902
115	Mouse	CRNDE	lncRNA	dexamethasone (DEX)	osteoporosis	human bone marrow mesenchymal stem cell (hBMSC)	Dexamethasone (Dex) treatment	"Dex downregulated CRNDE expression, whereas NBIF upregulated CRNDE."	33713471
116	Mouse	CRNDE	lncRNA	neobavaisoflavone (NBIF)	osteoporosis	human bone marrow mesenchymal stem cell (hBMSC)	Neobavaisoflavone (NBIF)? treatment	"Dex downregulated CRNDE expression, whereas NBIF upregulated CRNDE."	33713471
117	Mouse	CRNDE	lncRNA	lipopolysaccharide (LPS)	sepsis-induced acute kidney injury	mouse kidney tissues	lipopolysaccharide (LPS) treatment	upregulated	31841203
118	Mouse	CTD-2574D22.4	lncRNA	lipopolysaccharide (LPS)	osteoarthritis (OA)	mouse ATDC5 cells	lipopolysaccharides (LPS) treatment	upregulated	31368870
119	Mouse	Cyrano	lncRNA	unmethylated cytosine followed by guanine (CpG ODN)	macrophage activation	RAW264.7 cells	unmethylated cytosine followed by guanine (CpG ODN) treatment	downregulated	32626785
120	Mouse	CYTOR	lncRNA	angiotensin II (Ang II)	cardiac hypertrophy	primary cardiomyocyte	angiotensin II (Ang II) treatment	CYTOR knockdown significantly enhanced the inducible effect of AB operation on mice myocardial hypertrophy and Angiotensin II on cardiomyocyte hypertrophy.	30794866
121	Mouse	D63785	lncRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	neuron apoptosis	SH-SY5Y cells	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	downregulated	32999283
122	Mouse	DACH1	lncRNA	hypoxia	heart failure (HF)	heart tissues	transverse aortic constriction surgery treatment	upregulated	31446800
123	Mouse	Dlk1-Dio3	lncRNA	phenobarbital (PB)	hepatocellular carcinoma (HCC)	hepatocyte	phenobarbital (PB) treatment	Dlk1-Dio3 ncRNAs as novel candidate early biomarkers for mouse liver tumor promotion	23091169
124	Mouse	Dlx6os1	lncRNA	high glucose (HG)	diabetic nephropathy (DN)	SV40 MES13 cells	high glucose (HG) treatment	Long non-coding RNA Dlx6os1 serves as a potential treatment target for diabetic nephropathy via regulation of apoptosis and inflammation.	32855728
125	Mouse	DNM3OS	lncRNA	high fat diet (HFD)	diabetes mellitus (DM)	peritoneal macrophages (PMs)	high fat diet (HFD) feed	upregulated	29930005
126	Mouse	DNM3OS	lncRNA	high glucose (HG)	diabetes mellitus (DM)	bone marrow-derived macrophages (BMDMs)	high glucose feed	upregulated	29930005
127	Mouse	DNM3OS	lncRNA	palmitic acid (PA)	diabetes mellitus (DM)	bone marrow-derived macrophages (BMDMs)	palmitic acid (PA) treatment	upregulated	29930005
128	Mouse	DNM3OS	lncRNA	streptozocin (STZ)	diabetes mellitus (DM)	peritoneal macrophages (PMs)	streptozotocin (STZ) treatment	upregulated	29930005
129	Mouse	DNM3OS	lncRNA	TGF-¦Â	idiopathic pulmonary fibrosis (IPF)	lung tissues	transforming growth factor-¦Â (TGF-¦Â) treatment	lncRNA DNM3OS was upregulated in TGF-¦Â treatment of lung fibroblastsinterfering with DNM3OS function not only prevents lung fibrosis but also improves established pulmonary fibrosis	30964696
130	Mouse	DQ786227	lncRNA	benzo(a)pyrene (BaP)	lung cancer	BEAS-2B cells	benzo(a)pyrene (BaP) exposure	lncRNA-DQ786227 acts as an oncogene in malignantly transformed BEAS-2B cells induced by benzo(a)pyrene	24084393
131	Mouse	DSCAM-AS1	lncRNA	angiotensin II (Ang II)	cardiac hypertrophy	cardiomyocytes	angiotensin II (Ang II) treatment	DSCAM-AS1 mediates pro-hypertrophy role of GRK2 in cardiac hypertrophy aggravation via absorbing miR-188-5p.	32377998
132	Mouse	DYN-LRB2-2	lncRNA	oxidized low density lipoprotein (ox-LDL)	atherosclerosis (AS)	Raw264.7 cells	oxidized low-density lipoprotein (ox-LDL) treatment	upregulated	28815701
133	Mouse	DYN-LRB2-2	lncRNA	oxidized low density lipoprotein (ox-LDL)	cholesterol efflux	RAW 264.7 cells	oxidized low-density lipoprotein (ox-LDL) treatment	LincRNA DYN-LRB2-2 was upregulated in oxLDL-treated Raw264.7 cells.	28815701
134	Mouse	E230001N04Rik	lncRNA	propofol (PPF)	propofol-induced neurotoxicity	hippocampus	propofol treatment	upregulated	29628875
135	Mouse	E330013P06	lncRNA	streptozocin (STZ)	type 2 diabetes mellitus (T2DM)	C57BL/6J mice macrophage	"streptozotocin (50mg/kg) for 5 consecutive days. In diet-induced T2D models, f high-fat diet for 4 weeks and then inject a single dose of SZ (100mg/kg) treatment"	upregulated	25008173
136	Mouse	E52329	lncRNA	Japanese encephalitis virus (JEV)	neuroinflammation	mouse brain	infect with JEV	dysregulated	29033949
137	Mouse	Tmpo	lncRNA	oxygen	retinopathy of prematurity (ROP)	retinal tissues	oxygen treatment	downregulated	32246647
138	Mouse	Gm15996	lncRNA	high fat diet (HFD)	male infertility	C57bl/6J mice	high fat diet (HFD) feed	dysregulated	28599310
139	Mouse	Mthfd2	lncRNA	oxygen	retinopathy of prematurity (ROP)	retinal tissues	oxygen treatment	downregulated	32246647
140	Mouse	BC012245.1	lncRNA	oxygen	retinopathy of prematurity (ROP)	retinal tissues	oxygen treatment	upregulated	32246647
