ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
49	Rat	rno-let-7c-5p	miRNA	lipopolysaccharide (LPS)	pulpitis	Dental pulp stem cells (DPSCs)	lipopolysaccharide (LPS) treatment	downregulated	30238933
50	Rat	rno-let-7c-5p	miRNA	lipopolysaccharide (LPS)	pulpitis	dental pulp stem cells (DPSCs)	lipopolysaccharide (LPS) treatment	downregulated	30575977
51	Rat	rno-let-7c-5p	miRNA	glucocorticoid (GC)	respiratory distress syndrome	lung	Glucocorticoids treatment	upregulated	26997989
52	Rat	rno-let-7c-5p	miRNA	smoking	smoke inhalation injury (SII)	bronchoalveolar lavage fluid (BALF)	Smoke inhalation treatment	upregulated	30139538
53	Rat	rno-let-7d	miRNA	infarct the LV free wall	acute myocardial infarction (AMI)	heart tissues	left anterior descending coronary artery (LAD) was ligated using a 5/0 silk thread treatment	downregulated	24758696
54	Rat	rno-let-7d	miRNA	TGF-¦Â1	diabetic nephropathy (DN)	NRK-52E cells	TGF-¦Â1 treatment	downregulated	27693697
55	Rat	rno-let-7d	miRNA	ethanol (EtOH)	ethanol-related behaviors	NAc tissues	ethanol treatment	Lentiviral-mediated upregulated of let-7d microRNA decreases alcohol intake through down-regulating the dopamine D3 receptor	32646740
56	Rat	rno-let-7d	miRNA	high amplitude mechanical stretching	lung fibrosis	alveolar type II (ATII) cells and lung fibroblasts	high amplitude mechanical stretching treatment	upregulated	31290711
57	Rat	rno-let-7d-5p	miRNA	herb-partitioned moxibustion	ulcerative colitis (UC)	UC rats colon tissues	herb-partitioned moxibustion	upregulated	28246536
58	Rat	rno-let-7e	miRNA	infarct the LV free wall	acute myocardial infarction (AMI)	heart tissues	left anterior descending coronary artery (LAD) was ligated using a 5/0 silk thread treatment	downregulated	24758696
59	Rat	rno-let-7e	miRNA	paraquat (PQ)	apoptosis	PC 12 cells	paraquat (PQ) treatment	downregulated	25174400
60	Rat	rno-let-7e	miRNA	steroids	osteonecrosis of femoral head (ONFH)	bone marrow mesenchymal stem cells (BMSCs)	steroid treatment	downregulated	27910957
61	Rat	rno-let-7e-5p	miRNA	doxorubicin (DOX)	ischemia/reperfusion (I/R) injury	rats cardiomyocytes	doxorubicin treatment	upregulated	27919821
62	Rat	rno-let-7f	miRNA	formaldehyde	formaldehyde inducted immune/inflammation	rats	were exposed to formaldehyde treatment	downregulated	24304932
63	Rat	rno-let-7f-1-3p	miRNA	herb-partitioned moxibustion	ulcerative colitis (UC)	UC rats colon tissues	herb-partitioned moxibustion	upregulated	28246536
64	Rat	rno-let-7f-2-3p	miRNA	doxorubicin (DOX)	cardiotoxicity	H9c2 cells	doxorubicin (Dox)?treatment	"let-7f-2-3p inhibition in mice alleviated Dox-induced cardiotoxicity and preserved the antitumor efficacy. Together, let-7f-2-3p regulated by lncRNA NEAT1 aggravates Dox-induced cardiotoxicity through inhibiting XPO1-mediated HAX-1 nuclear export"	31570982
65	Rat	rno-let-7f-5p	miRNA	plastrum testudinis extracts (PTE)	osteogenesis	bone marrow mesenchymal stem cells (BMSCs)	plastrum testudinis extracts (PTE) treatment	upregulated	29975930
66	Rat	rno-let-7g	miRNA	hypoxia	pulmonary hypertension (PH)	PASMCs	hypoxia treatment	downregulated	27889560
67	Rat	rno-let-7g	miRNA	hypoxia	pulmonary hypertension (PH)	Sprague-Dawley (SD) rats remodeled pulmonary artery	were exposed to hypoxia (10% O2) for 21days	downregulated in remodeled pulmonary artery	27889560
68	Rat	rno-let-7g	miRNA	hypoxia	pulmonary hypertension (PH)	SD Rats pulmonary arteries	"were exposed to hypoxia (10% O2, 3 weeks)"	downregulated in pulmonary arteries	28108289
69	Rat	rno-let-7g	miRNA	rapamycin	repair of epidermal growth factor (EGF)	IEC-6 cells	Rapamycin treatment	downregulated	32301281
70	Rat	rno-let-7g-5p	miRNA	gentamicin	acute kidney injury (AKI)	urine	gentamicin treatment	upregulated	33263228
71	Rat	rno-let-7i	miRNA	sevoflurane (SEV)	acute lung injury (ALI)	lung tissues	sevoflurane treatment	downregulated	28617947
72	Rat	rno-let-7i	miRNA	infarct the LV free wall	acute myocardial infarction (AMI)	heart tissues	left anterior descending coronary artery (LAD) was ligated using a 5/0 silk thread treatment	downregulated	24758696
73	Rat	rno-let-7i	miRNA	icariside II (ICA II)	erectile dysfunction (ED)	adipose tissue-derived stem cells (ADSCs)	IcarisideII (ICAII) treatment	downregulated	31581950
74	Rat	rno-let-7i	miRNA	dioscin	liver fibrosis	NRK-52E and HK-2 cells	dioscin treatment	upregulated	27431331
75	Rat	rno-let-7i	miRNA	penetrating ballistic-like brain injury	penetrating ballistic-like brain injury (PBBI)	male Sprague-Dawley rats brain tissue	a unilateral frontal 10% PBBI treatment	upregulated in brain tissue	28452880
76	Rat	rno-let-7i	miRNA	single dose irradiation	radiation-induced lung injury (RILI)	male Wistar rats lung tissues	subjected to single dose irradiation with 20 Gy using 6 MV x-rays to the right lung treatment	upregulated	24886372
77	Rat	rno-let-7i	miRNA	blast	traumatic brain injury (TBI)	Blood and cerebrospinal fluid of rats	blast treatment	upregulated	22352906
78	Rat	rno-let-8	miRNA	lipopolysaccharide (LPS)	neuroinflammation	neuroinflammatory rat	injection of (250 ¦Ìg/kg) lipopolysaccharide-stimulated neuroinflammatory rat treatment	downregulated	25374508
79	Rat	rno-miR-1	miRNA	infusion of oleic acid (OA)	acute lung injury (ALI)	lung tissues	OA (200 ?l/kg) suspended in 20% ethyl alcohol was injected through the tail vein for 20 min treatment	dysregulated	24736893
80	Rat	rno-miR-1	miRNA	coronary artery ligation	acute myocardial infarction (AMI)	heart	subjected to coronary artery ligation	"serum miR-1 is quickly increased after AMI with a peak at 6 h, in which an increase in miR-1 of over 200-fold was demonstrated."	20218970
81	Rat	rno-miR-1	miRNA	glucose	apoptosis	?rat cardiomyocyte cell line H9C2	glucose treatment	upregulated	18801338
82	Rat	rno-miR-1	miRNA	doxycycline	atrial fibrillation (AF)	heart tissues	doxycycline treatment	downregulated	30470910
83	Rat	rno-miR-1	miRNA	doxycycline	atrial fibrillation (AF)	heart sissues	doxycycline treatment	upregulated	30470910
84	Rat	rno-miR-1	miRNA	astragaloside IV (AS-IV)	cardiac dysfunction	heart tissue of rats treated with LPS	astragaloside (AS-IV) treatment	downregulated	33774032
85	Rat	rno-miR-1	miRNA	lipopolysaccharide (LPS)	cardiac dysfunction	heart tissue	lipopolysaccharide (LPS) treatment	upregulated	33774032
86	Rat	rno-miR-1	miRNA	angiotensin II (Ang II)	cardiac fibroblast proliferation	primary ventricular fibroblasts	angiotensin II (Ang II) treatment	downregulated	31157242
87	Rat	rno-miR-1	miRNA	TGF-¦Â	cardiac fibroblast proliferation	adult rat ventricular fibroblasts	TGF¦Â treatment	downregulated	31157242
88	Rat	rno-miR-1	miRNA	T3	cardiac hypertrophy	neonatal rat cardiac myocytes (NRCMs)	treat with T3 for 24 hr treatment	upregulated	28063219
89	Rat	rno-miR-1	miRNA	hexabromocyclododecane (HBCD)	cardiac hypertrophy and arrhythmia	rat cardiomyocyte cells	Hexabromocyclododecane (HBCD) treatment	"miR-1, which was depressed by Nkx2.5, might play a fundamental role in mediating cardiac hypertrophy and arrhythmia via its target genes Mef2a and Irx5 after HBCD treatment"	26476318
90	Rat	rno-miR-1	miRNA	ionizing radiation (IR)	cardiogenic stress	hearts	ionizing radiation treatment	downregulated	27643935
91	Rat	rno-miR-1	miRNA	doxorubicin (DOX)	cardiomyocyte apoptosis	H9c2 cells	doxorubicin treatment	upregulated	27284328
92	Rat	rno-miR-1	miRNA	ischemia	cardiomyocyte apoptosis	cardiomyocytes	Ischemic postconditioning (IPost)treatment	upregulated	21406115
93	Rat	rno-miR-1	miRNA	daunorubicin	cardiomyopathy	rats	"daunorubicin (DAU-A, 3 mg/kg, every 48 h)"	downregulated	28303410
94	Rat	rno-miR-1	miRNA	acute and long-term aerobic exercise	cardiorespiratory fitness	young men	acute and long-term aerobic exercise treatment	downregulated	27895662
95	Rat	rno-miR-1	miRNA	isoproterenol and doxorubicin	cardiotoxicity	rats plasma	isoproterenol and doxorubicin treatment	upregulated after treatment with doxorubicin	25092230
96	Rat	rno-miR-1	miRNA	high glucose (HG)	diabetic cardiomyopathy (DCM)	H9c2 cells	high glucose (HG) treatment	upregulated	30186406
97	Rat	rno-miR-1	miRNA	high glucose (HG)	diabetic cardiomyopathy (DCM)	cardiomyocytes	high glucose (HG) treatment	upregulated	27306406
98	Rat	rno-miR-1	miRNA	ivabradine	electrophysiological cardiac remodelling	heart of rat	?ivabradine treatment	upregulated	21838751
99	Rat	rno-miR-1	miRNA	pilocarpine	epilepsy	adult male rats brain tissue and heart tissue	50 days of pilocarpine treatment	downregulated in heart tissue	24530830
100	Rat	rno-miR-1	miRNA	angiotensin II (Ang II)	hemorrhagic shock	vascular smooth muscle cells (VSMCs)	angiotensin II (Ang II) treatment	AngII treatment reverses the upregulated of miR-1.	30419280
101	Rat	rno-miR-1	miRNA	angiotensin II (Ang II)	hemorrhagic shock	hypoxia-induced vascular smooth muscle cells (VSMCs)	angiotensin II (Ang II) treatment	downregulated	30419280
102	Rat	rno-miR-1	miRNA	hypoxia	hemorrhagic shock	vascular smooth muscle cells (VSMCs)	hypoxia induce	upregulated	30419280
103	Rat	rno-miR-1	miRNA	aloe-emodin (AE)	HFD-induced cardiac electrical remodeling	high-fat diet (HFD) rats hearts	intragastrically administered with 100 mg/kg AE each day for 6 weeks	downregulated in the hearts	29055952
104	Rat	rno-miR-1	miRNA	ionizing radiation (IR)	irradiation-induced heart damage	rat myocardium	Single irradiation of 10 Gy (4¨C5 Gy/min.) of rat¡¯s mediastinum area	upregulated	30830529
105	Rat	rno-miR-1	miRNA	molecular hydrogen-rich water (HRW)	irradiation-induced heart damage	irradiation-induced rat myocardium	molecular hydrogen-rich water (HRW) treatment	downregulated	30830529
106	Rat	rno-miR-1	miRNA	tanshinone IIA (Tan IIA)	ischemic arrhythmias	?rat isolated ventricular myocytes	Tanshinone IIA? treatment	downregulated	19775284
107	Rat	rno-miR-1	miRNA	hypoxia	ischemia/reperfusion (I/R) injury	primary cultured cardiomyocyte	hypoxia induce	upregulated	31369209
108	Rat	rno-miR-1	miRNA	hypoxia/reoxygenation (H/R)	ischemia/reperfusion (I/R) injury	cardiomyocytes of neonatal rats	hypoxia/reoxygenation (HR) injury treatment	upregulated	25008997
109	Rat	rno-miR-1	miRNA	losartan	ischemia/reperfusion (I/R) injury	heart tissues	losartan treatment	upregulated	26168042
110	Rat	rno-miR-1	miRNA	telmisartan	ischemia/reperfusion (I/R) injury	hypoxia-induced primary cultured cardiomyocyte	telmisartan treatment	downregulated	31369209
111	Rat	rno-miR-1	miRNA	dantonic	isoproterenol-induced myocardial ischemia (ISO-AMI)	plasma	dantonic treatment	miR-1 level was significantly lower in both dantonic-administrated groups compared to LAD- AMI group.	30319429
112	Rat	rno-miR-1	miRNA	scopolamine	memory loss	"prefrontal cortex (PFC), the hippocampus and the amygdala tissues"	scopolamine treatment	upregulated	31400468
113	Rat	rno-miR-1	miRNA	carvedilol	myocardial infarction (MI)	H2O2 treated primary cultured cardiomyocyte	carvedilol treatment	downregulated	30896796
114	Rat	rno-miR-1	miRNA	H2O2	myocardial infarction (MI)	primary cultured cardiomyocyte	H2O2 treatment	upregulated	30896796
115	Rat	rno-miR-1	miRNA	H2O2	myocardial infarction (MI)	primary cultured rat?cardiomyocytes	H2O2 treatment	upregulated	31702064
116	Rat	rno-miR-1	miRNA	metoprolol	myocardial infarction (MI)	cardiomyocytes; heart tissues	metoprolol treatment	Pretreatment of metoprolol reversed these changes by decreasing miR-1 and increasing Cx43 expression.	31702064
117	Rat	rno-miR-1	miRNA	metoprolol	myocardial infarction (MI)	H2O2 treated primary cultured rat?cardiomyocytes	Metoprolol treatment	downregulated	31702064
118	Rat	rno-miR-1	miRNA	hypoxia	myocardial ischaemic injury	H9c2 cells	hypoxia treatment	downregulated	32030815
119	Rat	rno-miR-1	miRNA	sciatic nerve partial ligation	peripheral nerve injury (PNI)	dorsal root ganglion (DRG)	sciatic nerve partial ligation therapy treatment	downregulated in the injured nerve	27381812
120	Rat	rno-miR-1	miRNA	hypoxia	pulmonary arterial hypertension (PAH)	lung tissues	hypoxia induce	upregulated	29717493
121	Rat	rno-miR-1	miRNA	Su5416	pulmonary arterial hypertension (PAH)	lung tissues	Su5416 treatment	upregulated	29717493
122	Rat	rno-miR-1	miRNA	exercise training (ET)	pulmonary arterial stenosis (PAS)	PAS rats	PAS rats treatment	miR-1 downregulated and miR-21 upregulation	27994552
123	Rat	rno-miR-1	miRNA	hypoxia/reoxygenation (H/R)	pyroptosis	H9c2 cells	hypoxia/reoxygenation (H/R) treatment	MiRNA-1 promoted pyroptosis of cardiomyocytes and release of inflammatory factors by downregulating the expression level of PIK3R1.	33215443
124	Rat	rno-miR-1	miRNA	aerobic exercise	sinus bradycardia	rats	aerobic exercise training (AET) treatment	upregulated	24825544
125	Rat	rno-miR-1	miRNA	perfluorooctane sulfonic acid (PFOS)	perfluorooctane sulfonate (PFOS)-induced toxic action	rat liver tissue	dams received 3.2 mg/kg PFOS in their feed from gestational day 1 (GD1) to postnatal day 7 (PND 13) treatment	different expression	24420840
126	Rat	rno-miR-1	miRNA	isoproterenol	¦Â-adrenoceptor intervention	rat heart tissues	isoproterenol (ISO)  treatment	downregulated	22847192
127	Rat	rno-miR-10	miRNA	scopolamine	memory loss	"prefrontal cortex (PFC), the hippocampus and the amygdala tissues"	scopolamine treatment	upregulated	31400468
128	Rat	rno-miR-100	miRNA	TGF-¦Â	adaptation of tendons to mechanical loading	rat Tendon fibroblasts	Transforming growth factor-¦Â(TGF-¦Â) treatment	upregulated	22539168
129	Rat	rno-miR-100	miRNA	isoproterenol	cardiac hypertrophy	H9c2 cells	isoproterenol treatment	miR-100 was upregulated during ISO- induced pathological hypertrophy.	29481791
130	Rat	rno-miR-100	miRNA	H2O2	glaucoma	Rat RGC-5 cells	H2O2 was added to induce oxidative stress treatment	upregulated	25406880
131	Rat	rno-miR-100	miRNA	phosphodiesterase 5 (PDE5) inhibitor	nonalcoholic fatty liver disease (NAFLD)	plasma exosomes	phosphodiesterase 5 (PDE5) inhibitor treatment	upregulated	33396535
132	Rat	rno-miR-100	miRNA	hypoxia	pulmonary hypertension (PH)	pulmonary artery smooth muscle cells (PASMCs)	hypoxia treatment	downregulated	26409044
133	Rat	rno-miR-100	miRNA	lipopolysaccharide (LPS)	spinal cord injury (SCI)	primary cultured microglia were extracted from 3-day-old neonatal rats	lipopolysaccharide (LPS) treatment	downregulated	31696457
134	Rat	rno-miR-101	miRNA	hypoxia/reoxygenation (H/R)	autophagy	H9c2 cardiomyocytes	hypoxia/reoxygenation (H/R) treatment	"the inhibition of miR-101 attenuated H/R-induced apoptosis, at least partially, via the induction of autophagy."	25606826
135	Rat	rno-miR-101	miRNA	hypoxia	bladder fibrosis	Bladder Smooth Muscle Cells	hypoxia treatment	Hypoxia could promote the expression of extracellular matrix subtypes and microRNA-101 in BSMCs.	30549198
136	Rat	rno-miR-101	miRNA	angiotensin II (Ang II)	cardiac hypertrophy	hypertrophic cardiac myocytes	angiotensin II (Ang II) treatment	downregulated	25850725
137	Rat	rno-miR-101	miRNA	chronic unpredictable mild stress (CUMS)	depression	rats ventrolateral orbital cortex (VLO)	chronic unpredictable mild stress (CUMS) treatment	downregulated in ventrolateral orbital cortex (VLO)	28549965
138	Rat	rno-miR-101	miRNA	hypoxia	fibrosis	bladder smooth muscle cells (BSMCs)	hypoxia induce	upregulated	30549198
139	Rat	rno-miR-101	miRNA	hypoxia	myocardial infarction (MI)	H9C2 cells	hypoxia treatment	downregulated	32072912
140	Rat	rno-miR-101	miRNA	lipopolysaccharide (LPS)	neuropathic pain (NP)	rat spinal microglia cells	lipopolysaccharide (LPS) treatment	downregulated	31526851
141	Rat	rno-miR-101	miRNA	lipopolysaccharide (LPS)	neuropathic pain (NP)	Rat spinal microglia cells	lipopolysaccharide (LPS) treatment	downregulated	31526851
142	Rat	rno-miR-101	miRNA	IL-1¦Â	osteoarthritis (OA)	Chondrocytes	IL-1¦Â treatment	The expression of Sox9 was likewise negatively regulated by miR-101 in rat chondrocytes	23227940
143	Rat	rno-miR-101	miRNA	salvianolic acid A (Sal A)	spinal cord injury (SCI)	RBMECs under hypoxia	RBMECs under hypoxia treatment	upregulation	28011395
144	Rat	rno-miR-101-1	miRNA	lithium chloride and pilocarpine	status epilepticus (SE)	rat hippocampus tissues	lithium-pilocarpine treatment	upregulated	21094214
145	Rat	rno-miR-101-3p	miRNA	complete freund's adjuvant (CFA)	adjuvant-induced arthritis (AIA)	Synovium and fibroblast-like synoviocytes (FLS)	complete Freund¡¯s adjuvant treatment	downregulated	29626254
146	Rat	rno-miR-101-3p	miRNA	type II collagen	rheumatoid arthritis (RA)	synovial tissues	type II collagen treatment	miR-101-3p was highly expressed in synovial tissues of RA rats.	31894846
147	Rat	rno-miR-101-3p	miRNA	zinc	testicular ischemia-reperfusion injury (IRI)	rat testicular tissue	Zinc treatment	downregulated	31692452
148	Rat	rno-miR-101a	miRNA	infusion of oleic acid (OA)	acute lung injury (ALI)	lung tissues	OA (200 ?l/kg) suspended in 20% ethyl alcohol was injected through the tail vein for 20 min treatment	dysregulated	24736893
149	Rat	rno-miR-101a	miRNA	hypoxia	cerebral ischemia injury (CII)	hypoxia-injured rat adrenal pheochromocytoma (PC-12) cells	hypoxia induce	"?lncRNA EFNA3 was highly expressed in response to hypoxia. Deletion of lncRNA EFNA3 significantly aggravated hypoxia-induced injury in PC-12 cells, as the impairment of cell viability, migration, and invasion, and the inducement of apoptosis. LncRNA EFNA3 worked as a sponging molecule for miR-101a and miR-101a suppression-protected PC-12 cells against hypoxia-induced injury even when lncRNA EFNA3 was silenced."	30125989
150	Rat	rno-miR-101a	miRNA	mongolian medicine warm acupuncture	insomnia	rats brain tissues	Mongolian medicine warm acupuncture treatment	upregulated in the brain tissue	28672928
151	Rat	rno-miR-101a	miRNA	oxygen glucose deprivation (OGD)	ischemic brain injury	Hippocampal neuronal	oxygen-glucose deprivation (OGD) treatment	upregulated	27074745
152	Rat	rno-miR-101a	miRNA	H2O2	myocardial ischemia/reperfusion (I/R) injury (MIRI)	H9c2 cells	H2O2 treatment	MiR-101a was upregulated in H9c2 cell after H2O2 treatment.	32655807
153	Rat	rno-miR-101a	miRNA	hypoxia	cerebral ischemia injury (CII)	PC-12 cells	hypoxia treatment	downregulated	30125989
154	Rat	rno-miR-101a-3p	miRNA	pilocarpine	epilepsy	hippocampus tissues	pilocarpine treatment	MiR-101a-3p was downregulated while c-FOS was increased in hippocampus tissues of Rat model of pilocarpine-induced epilepsy	33559830
155	Rat	rno-miR-101a-3p	miRNA	hypoxia/reoxygenation (H/R)	ischemia/reperfusion (I/R) injury	H9c2 cells	hypoxia/reoxygenation (H/R) treatment	upregulated	31746349
156	Rat	rno-miR-101a-3p	miRNA	hypoxia	myocardial ischemia/reperfusion (I/R) injury (MIRI)	H9C2 cell	hypoxia induce	upregulated	31746349
157	Rat	rno-miR-101a-3p	miRNA	glucocorticoid (GC)	respiratory distress syndrome	lung	Glucocorticoids treatment	upregulated	26997989
158	Rat	rno-miR-101b	miRNA	hypoxia	cortical injury	rat cortex tisssues	hypoxia treatment	downregulated	23272113
