ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
45	Human	AK056155	lncRNA	TGF-¦Â1	loeys-Dietz syndrome (LDS)	peripheral blood circulating endothelial cells	TGF-¦Â1 treatment	upregulated	26617788
46	Human	AK058003	lncRNA	hypoxia	gastric cancer (GC)	GC cell lines	hypoxia-induced GC treatment	upregulated	25499222
47	Human	AK077216	lncRNA	high glucose (HG)	diabetic retinopathy (DR)		high glucose treatment	AK077216 is downregulated in diabetic retinopathy and inhibited the apoptosis of ARPE-19 cells by downregulating miR-383.	31391356
48	Human	AK092074	lncRNA	"5-Aza-2'-deoxycytidine (5-Aza-dC, decitabine)"	cell differentiation	human umbilical cord derived mesenchymal stem cells (hUCMSCs)	"5-Aza-2'-deoxycytidine (5-Aza-dC, decitabine) treatment"	upregulated	29633064
49	Human	AK094457	lncRNA	oxidized low density lipoprotein (ox-LDL)	atherosclerosis (AS)	Human aortic vascular smooth muscle cells (hVSMCs)	oxidized low-density lipoprotein (ox-LDL) treatment	"LncRNA AK094457 downregulated by shRNA-AK094457-1 have inhibiting effects on proliferation, migration, ROS level and inflammation level in OX-LDL induced vascular smooth muscle cells (VSMCs)."	31632534
50	Human	AK094457	lncRNA	angiotensin II (Ang II)	hypertension	human umbilical vein endothelial cells (HUVECs)	angiotensin II (Ang II) treatment	The expression of the lncRNA AK094457 in the angiotensin II (Ang II) treatment groups were higher than the control group.	32027625
51	Human	AK094629	lncRNA	IL-1¦Â	temporomandibular joint osteoarthritis	synovial-derived mesenchymal stem cells (SMSCs)	IL-1¦Â treatment	IL-1¦Â upregulated the expression of AK094629 in the SMSCs in vitro.	32468015
52	Human	AK095147	lncRNA	curcumin (Cur)	nasopharyngeal carcinoma (NPC)	nasopharyngeal carcinoma (NPC) cells	curcumin treatment	dysregulated	24379026
53	Human	AK095147	lncRNA	curcumin (Cur)	nasopharyngeal carcinoma (NPC)	nasopharyngeal carcinoma (NPC) cells	curcumin treatment	downregulated	24379026
54	Human	AK294004	lncRNA	curcumin (Cur)	nasopharyngeal carcinoma (NPC)	nasopharyngeal carcinoma (NPC) cells	curcumin treatment	dysregulated	24379026
55	Human	AK294004	lncRNA	curcumin (Cur)	nasopharyngeal carcinoma (NPC)	nasopharyngeal carcinoma (NPC) cells	curcumin treatment	upregulated	24379026
56	Human	AK309872	lncRNA	"5-Aza-2'-deoxycytidine (5-Aza-dC, decitabine)"	cell differentiation	human umbilical cord derived mesenchymal stem cells (hUCMSCs)	"5-Aza-2'-deoxycytidine (5-Aza-dC, decitabine) treatment"	downregulated	29633064
57	Human	AL049437	lncRNA	"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)"	parkinson's disease (PD)	SH-SY5Y cells	"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) treatment"	upregulated	32057949
58	Human	AL645940.1	lncRNA	N-retinylidene-N-retinylethanolamine (A2E)	retinitis pigmentosa	human retinal pigment epithelium cells	N-retinylidene-N-retinylethanolamine (A2E) treatment	downregulated	32326576
59	Human	ALT1	lncRNA	hypoxia	regulation of cell cycle	human umbilical vein endothelial cells (HUVECs)	hypoxia treatment	upregulated	28977802
60	Human	ANCR	lncRNA	TGF-¦Â1	epithelial-mesenchymal transition (EMT)	"MCF10A,MDA-MB-231,MCF7,T47D,BT549,HEK293T"	TGF-¦Â1 down-regulates ANCR treatment	downregulated	28978036
61	Human	ANPODRT	lncRNA	tert-butyl hydroperoxide (TBHP)	intervertebral disc degeneration (IDD)	nucleus pulposus (NP) cell	?tert-butyl hydroperoxide (TBHP) treatment	We found that ANPODRT was downregulated in degenerative NP tissues and in NP cells treated with tert-butyl hydroperoxide	33603950
62	Human	ANRIL	lncRNA	lipopolysaccharide (LPS)	acute kidney injury (AKI)	HK2 cells	lipopolysaccharide (LPS) treatment	The upregulation of ANRIL can reduce the expression of microRNA-199a and increases the number of apoptotic cells	32069473
63	Human	ANRIL	lncRNA	human T-cell leukemia virus type 1 (HTLV-1)	adult T-cell leukemia (ATL)	ATL cells	human T-cell leukemia virus type 1 (HTLV-1) infection	The expression level of the lncRNA ANRIL was elevated in HTLV-1-infected cell lines and clinical ATL samples.	30258009
64	Human	ANRIL	lncRNA	tanshinone IIA (Tan IIA)	age-related nuclear cataract	H2O2 treated human lens epithelial cell line SRA01/04	Tanshinone IIA treatment	upregulated	30701534
65	Human	ANRIL	lncRNA	IL-13	allergic rhinitis (AR)	Human nasal epithelial cells (HNECs)	IL-13 treatment	"The expression levels of ANRIL and JAK2 were also upregulated in IL-13-induced HNECs, while the expression levels of miR-15a-5p were downregulated."	33325534
66	Human	ANRIL	lncRNA	oxygen glucose deprivation (OGD)	angiogenesis	Human umbilical vein endothelial cells (HUVECs)	oxygen glucose deprivation (OGD) treatment	OGD remarkably decreased lncRNA-ANRIL expression level.	32400082
67	Human	ANRIL	lncRNA	oxidized low density lipoprotein (ox-LDL)	atherosclerosis (AS)	Human aorta vascular smooth muscle cells (HA-VSMCs); human umbilical vein endothelial cells (HUVECs)	oxidized low-density lipoprotein (ox-LDL) treatment	ANRIL promoted AS progression by sponging miR-399-5p and regulating RAS/RAF/ERK signal pathway.	32141564
68	Human	ANRIL	lncRNA	H2O2	cataract	HLECs	H2O2 treatment	lncRNA ANRIL attenuated H2O2-induced cell injury in HELCs via up-regulating miR-21 via the activation of AMPK and ¦Â-catenin.	32310822
69	Human	ANRIL	lncRNA	high glucose (HG)	diabetic nephropathy (DN)	kidney tissues	high glucose (HG) treatment	ANRIL and TXNIP were elevated in DN kidney tissues and HG-treated HK-2 cells while miR-497 was reduced.?miR-497 mimics inhibited caspase-1-dependent pyroptosis while co-overexpression of TXNIP blocked its effects in HG-treated HK-2 cells.	33160992
70	Human	ANRIL	lncRNA	high glucose (HG)	diabetic nephropathy (DN)	human renal tubular epithelial cell cells (HK-2)	high glucose (HG) treatment	ANRIL promotes pyroptosis and kidney injury in DN via acting as miR-497 sponge to disinhibit TXNIP expression.	33160992
71	Human	ANRIL	lncRNA	Rhein-8-O-¦Â-D-glucopyranoside (Rg)	diabetic nephropathy (DN)	human mesangial cells (HMCs)	Rhein-8-O-¦Â-D-glucopyranoside (Rg) treatment	Rg attenuated HG-induced apoptosis of HMCs by regulating the lincRNA ANRIL/let-7a/TGF-¦Â1/Smad signaling pathway	32256771
72	Human	ANRIL	lncRNA	high glucose (HG)	diabetic wound healing	Human lymphatic endothelial cells (LECs)	high glucose (HG) treatment	downregulated	30565672
73	Human	ANRIL	lncRNA	H2O2	glaucoma	human trabecular meshwork (TM) cells	"For the stimulation with H2 O2 , the cells were cultured in Trabecular Meshwork Cell Medium (TMCM) containing 50-400 ¦ÌM H2O2 (Sigma-Aldrich, St. Louis, MO, USA) for 24 h after they reached 80-85% confluence."	H2O2-induced decrease of cell viability and the increases in apoptosis and ROS generation were significantly attenuated by lncRNA ANRIL overexpression	31081068
74	Human	ANRIL	lncRNA	all-trans retinoic acid (ATRA)	glioblastoma multiforme (GBM)	U87 glioblastoma cells	all-trans retinoic acid (ATRA) treatment	downregulated	31186810
75	Human	ANRIL	lncRNA	cisplatin (DDP)	non-small cell lung cancer (NSCLC)	A549 cells	cisplatin treatment	ANRIL knockdown inhibited the development of DDP resistance by upregulating miR-98.	32705261
76	Human	ANRIL	lncRNA	cisplatin (DDP)	osteosarcoma (OS)	U2-OS and Saos-2 osteosarcoma cell lines	cisplatin (DPP) treatment	ANRIL-silenced cells were more sensitive to cisplatin: apoptotic ratio was increased and cleaved caspase-3 level was upregulated.	30777616
77	Human	ANRIL	lncRNA	hypoxia	osteosarcoma (OS)	osteosarcoma cells (MNNG and U2OS)	hypoxia treatment	upregulated	28588425
78	Human	ANRIL	lncRNA	cisplatin (DDP)	ovarian cancer (OC)	SKOV3 cells	cisplatin treatment	upregulated	31189742
79	Human	ANRIL	lncRNA	cisplatin (DDP)	ovarian cancer (OC)	ES2 cells	cisplatin treatment	upregulated	32901049
80	Human	ANRIL	lncRNA	propofol (PPF)	papillary thyroid cancer (PTC)	Human PTC cell lines TPC-1 and IHH-4	Propofol treatment	downregulated	30703346
81	Human	ANRIL	lncRNA	hypoxia	pulmonary arterial hypertension (PAH)	human pulmonary artery smooth muscle cells (HPASMCs)	hypoxia induce	downregulated	31974617
82	Human	ANRIL	lncRNA	hypoxia	pulmonary arterial hypertension (PAH)	human pulmonary artery smooth muscle cells (HPASMCs)	hypoxia treatment	downregulated	31974617
83	Human	ANRIL	lncRNA	lipopolysaccharide (LPS)	ulcerative colitis (UC)	fetal human cells (FHCs)	lipopolysaccharide (LPS) treatment	upregulated	30477744
84	Human	ANRIL	lncRNA	ursolic acid (UA)	uric acid nephropathy (UAN)	HK-2?cells	uric acid treatment	Uric acid increased the expression levels of ANRIL in HK-2 cells	30347231
85	Human	ANRIL	lncRNA	high glucose (HG)	wound healing	human dermal lymphatic endothelial cells (LECs)	high glucose (HG) treatment	"ANRIL was downregulated, whereas miR-181a was upregulated in high glucose (HG)-induced LECs."	30565672
86	Human	ANRIL	lncRNA	ionizing radiation (IR)	colorectal cancer (CRC)	SW480 cells	irradiation treatment	Irradiation significantly decreased cell viability and ANRIL expression in a dose-dependent manner.	33529508
87	Human	AP000769.1-2:10	lncRNA	celecoxib	lung squamous cell carcinoma (LSQCC)	The human LSQCC cell line SK-MES-1	celecoxib treatment	downregulated	29512696
88	Human	APAP2-AS1	lncRNA	trastuzumab	breast cancer	HER2-positive SKBR-3 and BT474 cells	Trastuzumab treatment	upregulated	30910994
89	Human	APPAT	lncRNA	oxidized low density lipoprotein (ox-LDL)	atherosclerosis (AS)	human umbilical vein endothelial cells (HUVECs)	oxidized low-density lipoprotein (ox-LDL) treatment	APPAT showed significant reduction in ox-LDL treated human VSMCs in vitro.	29372117
90	Human	ARAP1-AS2	lncRNA	high glucose (HG)	diabetic nephropathy (DN)	HK2 cells	high glucose (HG) treatment	upregulated	32969198
91	Human	ARAP1-AS2	lncRNA	high glucose (HG)	epithelial-mesenchymal transition (EMT)	HK-2 cells	high glucose (HG) treatment	upregulated	31975379
92	Human	Arid2-IR	lncRNA	advanced glycation end product (AGE)	diabetic retinopathy (DR)	human retinal endothelial cells (HRECs)	advanced glycation end product (AGE) treatment	upregulated	31912402
93	Human	ARSR	lncRNA	oxaliplatin	colorectal cancer (CRC)	SW480 cells; SW620 cells	oxaliplatin (OXA) treatment	upregulated of lncARSR promoted OXA resistance in CRC.	32558022
94	Human	ARSR	lncRNA	atorvastatin	hypercholesterolemia	peripheral blood samples	atorvastatin treatment	Atorvastatin increased the expression of lncRNAs ARSR after treatment.	33198086
95	Human	ARSR	lncRNA	fatty acid	nonalcoholic fatty liver disease (NAFLD)	human hepatocarcinoma cell line (HepG2)	fatty acid treatment	upregulated	29555473
96	Human	ARSR	lncRNA	high fatty acid	nonalcoholic fatty liver disease (NAFLD)	HepG2 cells	high fatty acid treatment	upregulated	32169080
97	Human	AT102202	lncRNA	epigallocatechin-3-gallate (EGCG)	cholesterol metabolism	"human hepatoblastoma cell line, HepG2"	epigallocatechin-3-gallate (EGCG) treatment	upregulated	25563320
98	Human	ATB	lncRNA	TGF-¦Â1	atherosclerosis (AS)	human umbilical vein endothelial cell (HUVEC) line	TGF-¦Â1 treatment	upregulated	30942415
99	Human	ATB	lncRNA	angiotensin II (Ang II)	endothelial cell injury	human umbilical vein endothelial cell (HUVECs)	angiotensin II (Ang II) treatment	Ang II treatment downregulated the lncRNA-ATB level in HUVECs.	32581029
100	Human	ATB	lncRNA	TGF-¦Â1	epithelial-mesenchymal transition (EMT)	A549 cells	TGF-¦Â1 induces EMT process and elevates treatment	upregulated	29113749
101	Human	ATB	lncRNA	TGF-¦Â1	epithelial-mesenchymal transition (EMT)	A549 cells; Beas-2B cells	TGF-¦Â1 treatment	TGF-¦Â1 induces EMT process and elevates lncRNA-ATB levels in pulmonary epithelial cells	30010033
102	Human	ATB	lncRNA	TGF-¦Â	glioblastoma multiforme (GBM)	LN-18 and U251 cells	TGF-¦Â treatment	upregulated	31140621
103	Human	ATB	lncRNA	hepatitis B virus (HBV)	HBV-associated hepatocellular carcinoma (HCC)	HepG2 cell lines	hepatitis B virus (HBV) infection	upregulated	31746419
104	Human	ATB	lncRNA	astragaloside IV (AS-IV)	hepatocellular carcinoma (HCC)	SMMC-7721 cells	astragaloside (AS-IV) treatment	downregulated	29331759
105	Human	ATB	lncRNA	TGF-¦Â	hepatocellular carcinoma (HCC)	hepatoma cells	SMMC-7721 continuously with TGF-¦Â for 21 days treatment	different experssion	24768205
106	Human	ATB	lncRNA	hepatitis B virus (HBV)	hepatocellular carcinoma (HCC)	HepG2 cells	HBx treatment	HBx-induced autophagy could upregulate the expression of TGF-¦Â and lncRNA-ATB.	31746419
107	Human	ATB	lncRNA	lipopolysaccharide (LPS)	osteoarthritis (OA)	human ATDC5 cells	lipopolysaccharide (LPS) treatment	"lncRNA-ATB expression was downregulated in LPS-injured cells, and lncRNA-ATB overexpression significantly alleviated LPS-induced inflammatory injury in ATDC5 cells."	30771739
108	Human	ATB	lncRNA	TGF-¦Â1	renal fibrosis	human kidney 2 (HK-2) cells	TGF-?1 treatment	LncRNA-ATB was highly expressed in TGF-?1 induced HK-2 cells	32447340
109	Human	ATXN8OS	lncRNA	ginsenoside Rg3	breast cancer	MCF-7 breast cancer cells	ginsenoside Rg3 treatment	"Here, a lncRNA (ATXN8OS) was found to be downregulated via Rg3-mediated promoter hypermethylation in MCF-7 breast cancer cells."	33477683
110	Human	AU015836	lncRNA	glyoxylate	kidney damage and kidney stones	HK-2 cells	glyoxylate	upregulated	29160413
111	Human	AV310809	lncRNA	TGF-¦Â1	peritoneal fibrosis	human peritoneal mesothelial cells (HPMCs)	TGF-¦Â1 treatment	upregulated	30935692
112	Human	AWPPH	lncRNA	bone morphogenetic protein 2 (BMP2)	non-traumatic osteonecrosis of femoral head (ONFH)	human MSCs from bone marrow (hMSC-BM)	bone morphogenetic protein 2 (BMP2) treatment	BMP-2 significantly upregulated the expression of lncRNA AWPPH in a dose-dependent manner.	31853285
113	Human	AWPPH	lncRNA	bone morphogenetic protein 2 (BMP2)	osteogenesis	Human MSCs from bone marrow (hMSC-BM)	bone morphogenetic protein 2 (BMP2) treatment	"BMP-2 treatment significantly increased the expression level of AWPPH in human MSCs from bone marrow (hMSC-BM). AWPPH overexpression promoted, while AWPPH short hairpin RNA silencing inhibited the expression of Runx2 expression in hMSC-BM cells."	31853285
114	Human	AWPPH	lncRNA	carboplatin (CBP)	triple negative breast cancer (TNBC)	o human TNBC cell lines MDA©\MB©\231 and BT©\ 20	carboplatin (CBP) treatment	LncRNA AWPPH overexpression led to promoted cancer cells proliferation and improved cancer cell viability under carboplatin treatment.	31033015
115	Human	AX747207	lncRNA	doxorubicin (DOX)	breast cancer	MCF-7 cells	doxorubicin treatment	upregulated	29749447
116	Human	AX800134	lncRNA	hepatitis B virus (HBV)	hepatocellular carcinoma (HCC)	blood; liver tissues	hepatitis B virus (HBV) infection	AX800134 was upregulated in HBV-positive HCC compared with HBV-negative HCC.	29789998
117	Human	BACE1	lncRNA	anisomycin	ovarian cancer (OC)	human ovarian cancer stem cells (OCSCs)	anisomycin treatment	upregulated	26783004
118	Human	BACE1-AS	lncRNA	amyloid-¦Â (A¦Â) 1-42	Alzheimer's disease (AD)	SH-SY5Y cells	amyloid ¦Â1-42?(A¦Â) treatment	"The BACE1-AS level was found to be upregulated in serum samples of AD patients, brain tissues of AD transgenic (Tg) mice and A¦Â1-42-treated SH-SY5Y cells."	33197504
119	Human	BACE1-AS	lncRNA	amyloid-¦Â (A¦Â) 1-42	Alzheimer's disease (AD)	SH-SY5Y cells	amyloid ¦Â1-42?(A¦Â) treatment	BACE1-AS Promotes Autophagy-Mediated Neuronal Damage Through The miR-214-3p/ATG5 Signalling Axis In Alzheimer's Disease.	33197504
120	Human	BACE1-AS	lncRNA	amyloid-¦Â (A¦Â) 25-35	Alzheimer's disease (AD)	HPN; SK-N-SH cells	amyloid-¦Â (A¦Â) 25-35 treatment	upregulated	31898085
121	Human	BACE1-AS	lncRNA	berberine (BBR)	Alzheimer's disease (AD)	HPN; SK-N-SH cells	berberine (BBR) treatment	downregulated	31898085
122	Human	BACE1-AS	lncRNA	amyloid-¦Â (A¦Â) 1-42	Alzheimer's disease (AD)	senile plaque (SP) AD SH-SY5Y cell	synthetic amyloid ¦Â-protein( A¦Â1-42) treatment	up-regulate	24970022
123	Human	BACE1-AS	lncRNA	HIV-1 transactivator of transcription (Tat) protein	HIV-associated neurocognitive disorders (HAND)	human primary astrocytes (HPAs)	HIV-1 transactivator of transcription (Tat) protein treatment	HIV-1 Tat-mediated astrocytic amyloidosis involves the HIF-1¦Á/lncRNA BACE1-AS axis.	32453744
124	Human	BANCR	lncRNA	IFN-¦Ã	age-related macular degeneration (AMD)	ARPE-19 cells	IFN-¦Ã treatment	IFN-¦Ã by itself increases BANCR expression in RPE cells.	29054724
125	Human	BANCR	lncRNA	high glucose (HG)	diabetic retinopathy (DR)	human retinal pigment epithelial cell line ARPE-19	high-glucose (HG) treatment	"In vitro, high-glucose treatment failed to affect the expression of lncRNA BANCR in the human retinal pigment epithelial cell line ARPE-19. However, lncRNA BANCR overexpression inhibited the apoptosis of ARPE-19 cells under high-glucose conditions."	31007747
126	Human	BANCR	lncRNA	IFN-¦Ã	inflammation	ARPE-19 cells	IFN¦Ã treatment	upregulated	29054724
127	Human	BANCR	lncRNA	IFN-¦Â	myocardial injury	iPS cell-derived cardiomyocytes	IFN-¦Â treatment	BANCR promotes interferon-¦Â-induced cardiomyocyte apoptosis by targeting signal transducer and activator of transcription 1 in vitro.	33284897
128	Human	BANCR	lncRNA	deoxyelephantopin (DOE)	uterine leiomyoma (UL)	UL cells	deoxyelephantopin (DOE) treatment	downregulated	33152917
129	Human	BC005927	lncRNA	hypoxia	gastric cancer (GC)	SGC7901 cells; MKN45 cells; MKN28 cells	hypoxia treatment	"BC005927 was strongly induced by hypoxia in SGC7901 cells, MKN45 cells and MKN28 cells in a time- dependent method."	29383777
130	Human	BC064139	lncRNA	"5-Aza-2'-deoxycytidine (5-Aza-dC, decitabine)"	cell differentiation	human umbilical cord derived mesenchymal stem cells (hUCMSCs)	"5-Aza-2'-deoxycytidine (5-Aza-dC, decitabine) treatment"	upregulated	29633064
131	Human	BC200	lncRNA	aurora kinase inhibitor (CCT137690)	breast cancer	MDA-MB-231 cells	aurora kinase inhibitor (CCT137690) treatment	downregulated	31319040
132	Human	BC200	lncRNA	doxorubicin (DOX)	cellular defense against genotoxic agents	human glioma cell lines	doxorubicin (DOX) treatment	downregulated	25645334
